"oper_id","title","business_type","method","request_method","operator_type","oper_name","dept_name","oper_url","oper_ip","oper_location","oper_param","json_result","status","error_msg","oper_time"
25,用户管理,2,com.fastbee.web.controller.system.SysUserController.edit(),PUT,1,admin,,/system/user,"127.0.0.1",内网IP,"{""admin"":false,""avatar"":"""",""createBy"":"""",""createTime"":""2024-05-08 16:35:49"",""delFlag"":""0"",""dept"":{""ancestors"":""0,100"",""children"":[],""deptId"":101,""deptName"":""web端注册用户归属机构"",""deptUserId"":7,""deptUserName"":""fastbee-web"",""leader"":""admin"",""orderNum"":0,""params"":{},""parentId"":100,""status"":""0""},""deptId"":101,""email"":"""",""loginIp"":"""",""nickName"":""朝阳"",""params"":{},""phonenumber"":""15888888885"",""postIds"":[],""roleIds"":[7],""roles"":[{""admin"":false,""dataScope"":""1"",""deptCheckStrictly"":false,""flag"":false,""menuCheckStrictly"":false,""params"":{},""roleId"":7,""roleKey"":""manager"",""roleName"":""管理员"",""roleSort"":1,""status"":""0""}],""sex"":""0"",""status"":""0"",""updateBy"":""admin"",""userId"":7,""userName"":""fastbee-web""}","{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 15:52:40"
26,机构管理,2,com.fastbee.web.controller.system.SysDeptController.edit(),PUT,1,admin,,/system/dept,"127.0.0.1",内网IP,"{""ancestors"":""0,100"",""children"":[],""deptId"":101,""deptName"":""注册用户归属机构"",""deptType"":2,""deptUserId"":7,""leader"":""admin"",""orderNum"":0,""params"":{},""parentId"":100,""parentName"":""信通公司"",""phone"":""15888888885"",""showOwner"":true,""status"":""0"",""updateBy"":""admin"",""userName"":""fastbee-web""}","{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 15:53:14"
27,用户管理,3,com.fastbee.web.controller.system.SysUserController.remove(),DELETE,1,admin,,/system/user/6,"127.0.0.1",内网IP,{},"{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 15:53:35"
28,用户管理,3,com.fastbee.web.controller.system.SysUserController.remove(),DELETE,1,admin,,/system/user/5,"127.0.0.1",内网IP,{},"{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 15:53:38"
29,用户管理,3,com.fastbee.web.controller.system.SysUserController.remove(),DELETE,1,admin,,/system/user/4,"127.0.0.1",内网IP,{},"{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 15:53:40"
30,用户管理,3,com.fastbee.web.controller.system.SysUserController.remove(),DELETE,1,admin,,/system/user/3,"127.0.0.1",内网IP,{},"{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 15:53:42"
31,用户管理,2,com.fastbee.web.controller.system.SysUserController.edit(),PUT,1,admin,,/system/user,"127.0.0.1",内网IP,"{""admin"":false,""avatar"":"""",""createBy"":""admin"",""createTime"":""2022-04-15 16:21:25"",""delFlag"":""0"",""dept"":{""ancestors"":""0"",""children"":[],""deptId"":100,""deptName"":""信通公司"",""deptUserId"":1,""deptUserName"":""admin"",""leader"":""admin"",""orderNum"":0,""params"":{},""parentId"":0,""status"":""0""},""deptId"":100,""email"":"""",""loginDate"":""2023-08-29 14:52:27"",""loginIp"":""61.145.97.26"",""nickName"":""旭日"",""params"":{},""phonenumber"":""15888888880"",""postIds"":[],""roleIds"":[2],""roles"":[{""admin"":false,""dataScope"":""5"",""deptCheckStrictly"":false,""flag"":false,""menuCheckStrictly"":false,""params"":{},""roleId"":2,""roleKey"":""tenant"",""roleName"":""设备租户"",""roleSort"":2,""status"":""0""}],""sex"":""0"",""status"":""0"",""updateBy"":""admin"",""userId"":2,""userName"":""fastbee-t1""}","{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 15:53:54"
32,用户管理,3,com.fastbee.web.controller.system.SysUserController.remove(),DELETE,1,admin,,/system/user/2,"127.0.0.1",内网IP,{},"{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 15:54:03"
33,产品分类,1,com.fastbee.data.controller.CategoryController.add(),POST,1,admin,,/iot/category,"127.0.0.1",内网IP,"{""categoryId"":8,""categoryName"":""梵蒂冈地方"",""createTime"":""2024-11-19 15:59:56.333"",""isSys"":1,""orderNum"":0,""params"":{},""tenantId"":1,""tenantName"":""admin""}","{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 15:59:56"
34,产品分类,3,com.fastbee.data.controller.CategoryController.remove(),DELETE,1,admin,,/iot/category/8,"127.0.0.1",内网IP,{},"{""msg"":""删除成功"",""code"":200}",0,,"2024-11-19 16:00:07"
35,角色管理,2,com.fastbee.web.controller.system.SysRoleController.edit(),PUT,1,admin,,/system/role,"127.0.0.1",内网IP,"{""admin"":false,""createTime"":""2024-05-08 16:55:16"",""dataScope"":""1"",""delFlag"":""0"",""deptCheckStrictly"":true,""deptId"":101,""flag"":false,""menuCheckStrictly"":true,""menuIds"":[2000,3001,3033,2043,2019,2007,2049,2050,2051,2054,3002,3003,3034,3035,2001,2002,2003,2006,2044,3206,3207,3208,3209,3210,2020,2021,2008,3247,3248,3249,3250,3251,3252,3253,2009,2010,2011,2147,3219,3220,3221,3222,2148,3214,3215,3216,3217,3218,2012,3044,5,100,1001,1002,1003,1004,1005,1006,1007,101,1008,1009,1010,1011,1012,103,1017,1018,1019,1020,3,114,115,1055,1056,1058,1057,1059,1060,116],""params"":{},""roleId"":8,""roleKey"":""general"",""roleName"":""web端注册用户"",""roleSort"":0,""status"":""0"",""updateBy"":""admin""}","{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 16:01:53"
36,通知公告,1,com.fastbee.web.controller.system.SysNoticeController.add(),POST,1,admin,,/system/notice,"127.0.0.1",内网IP,"{""createBy"":""admin"",""noticeContent"":""<p>光辐射大概</p>"",""noticeTitle"":""通知"",""noticeType"":""1"",""params"":{},""status"":""0""}","{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 16:08:33"
37,用户管理,2,com.fastbee.web.controller.system.SysUserController.edit(),PUT,1,admin,,/system/user,"127.0.0.1",内网IP,"{""admin"":false,""avatar"":"""",""createBy"":"""",""createTime"":""2024-11-19 17:12:09"",""delFlag"":""0"",""dept"":{""ancestors"":""0,100"",""children"":[],""deptId"":101,""deptName"":""注册用户归属机构"",""deptUserId"":7,""deptUserName"":""zzu"",""leader"":""admin"",""orderNum"":0,""params"":{},""parentId"":100,""status"":""0""},""deptId"":101,""email"":"""",""loginDate"":""2024-11-19 17:12:24"",""loginIp"":""127.0.0.1"",""nickName"":""zzuie"",""params"":{},""phonenumber"":""18588221409"",""postIds"":[],""roleIds"":[7],""roles"":[{""admin"":false,""dataScope"":""1"",""deptCheckStrictly"":false,""flag"":false,""menuCheckStrictly"":false,""params"":{},""roleId"":8,""roleKey"":""general"",""roleName"":""web端注册用户"",""roleSort"":0,""status"":""0""}],""sex"":""0"",""status"":""0"",""updateBy"":""admin"",""userId"":43,""userName"":""zzuie""}","{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 17:13:04"
38,角色管理,2,com.fastbee.web.controller.system.SysRoleController.edit(),PUT,1,admin,,/system/role,"127.0.0.1",内网IP,"{""admin"":false,""createTime"":""2024-05-08 16:55:16"",""dataScope"":""1"",""delFlag"":""0"",""deptCheckStrictly"":true,""deptId"":101,""flag"":false,""menuCheckStrictly"":true,""menuIds"":[3000,2000,2049,2050,2051,2054,3001,3002,3003,3004,3005,3006,3033,3034,3035,3036,3037,3038,2001,2002,2003,2006,2043,2044,2045,2046,2047,2048,2140,2136,2137,2138,2139,3206,3207,3208,3209,3210,3211,2019,2020,2021,2022,2023,2024,2007,2008,3247,3248,3249,3250,3251,3252,3253,2009,2010,2011,2147,3219,3220,3221,3222,2148,3214,3215,3216,3217,3218,2012,3044,3239,3240,3007,3008,3009,3010,3011,3012,3039,3040,3041,3042,3043,3102,3103,3104,3105,3106,3107,3108,3109,3110,3111,3112,3113,3114,3115,3158,3116,3117,5,100,1001,1002,1003,1004,1005,1006,1007,101,1008,1009,1010,1011,1012,103,1017,1018,1019,1020],""params"":{},""roleId"":8,""roleKey"":""general"",""roleName"":""web端注册用户"",""roleSort"":0,""status"":""0"",""updateBy"":""admin""}","{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 17:14:25"
39,用户管理,2,com.fastbee.web.controller.system.SysUserController.edit(),PUT,1,admin,,/system/user,"127.0.0.1",内网IP,"{""admin"":false,""avatar"":"""",""createBy"":"""",""createTime"":""2024-11-19 17:12:09"",""delFlag"":""0"",""dept"":{""ancestors"":""0,100"",""children"":[],""deptId"":101,""deptName"":""注册用户归属机构"",""deptUserId"":7,""deptUserName"":""zzu"",""leader"":""admin"",""orderNum"":0,""params"":{},""parentId"":100,""status"":""0""},""deptId"":101,""email"":"""",""loginDate"":""2024-11-19 17:14:42"",""loginIp"":""127.0.0.1"",""nickName"":""zzuie"",""params"":{},""phonenumber"":""18588221409"",""postIds"":[],""roleIds"":[8],""roles"":[{""admin"":false,""dataScope"":""1"",""deptCheckStrictly"":false,""flag"":false,""menuCheckStrictly"":false,""params"":{},""roleId"":7,""roleKey"":""manager"",""roleName"":""管理员"",""roleSort"":1,""status"":""0""}],""sex"":""0"",""status"":""0"",""updateBy"":""admin"",""userId"":43,""userName"":""zzuie""}","{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 17:16:13"
40,在线用户,7,com.fastbee.web.controller.monitor.SysUserOnlineController.forceLogout(),DELETE,1,admin,,/monitor/online/d0da8485-395a-4c99-aecc-2c130509d2b7,"127.0.0.1",内网IP,{},"{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 17:23:33"
41,在线用户,7,com.fastbee.web.controller.monitor.SysUserOnlineController.forceLogout(),DELETE,1,admin,,/monitor/online/d6644180-4adc-4c6f-a7d8-dd235eeef84c,"127.0.0.1",内网IP,{},"{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 17:23:36"
42,在线用户,7,com.fastbee.web.controller.monitor.SysUserOnlineController.forceLogout(),DELETE,1,admin,,/monitor/online/138d1394-9230-4518-83f7-9e4067af1e4b,"127.0.0.1",内网IP,{},"{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 17:23:40"
43,在线用户,7,com.fastbee.web.controller.monitor.SysUserOnlineController.forceLogout(),DELETE,1,admin,,/monitor/online/89fbe5f1-51ec-4937-932e-51fd34edeee3,"127.0.0.1",内网IP,{},"{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 17:23:42"
44,在线用户,7,com.fastbee.web.controller.monitor.SysUserOnlineController.forceLogout(),DELETE,1,admin,,/monitor/online/4eae5302-ca41-4d8d-8f7e-c72ee93c0879,"127.0.0.1",内网IP,{},"{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 17:23:44"
45,在线用户,7,com.fastbee.web.controller.monitor.SysUserOnlineController.forceLogout(),DELETE,1,admin,,/monitor/online/46f57354-da30-4ea5-9437-74340278e300,"127.0.0.1",内网IP,{},"{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 17:23:46"
46,菜单管理,2,com.fastbee.web.controller.system.SysMenuController.edit(),PUT,1,admin,,/system/menu,"127.0.0.1",内网IP,"{""children"":[],""createTime"":""2023-10-17 09:14:05"",""icon"":""cloud"",""isCache"":""0"",""isFrame"":""1"",""menuId"":3190,""menuName"":""云云对接"",""menuType"":""M"",""orderNum"":3,""params"":{},""parentId"":0,""path"":""speaker"",""perms"":"""",""status"":""1"",""updateBy"":""admin"",""visible"":""0""}","{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 17:25:11"
47,分组,3,com.fastbee.data.controller.GroupController.remove(),DELETE,1,admin,,/iot/group/2,"127.0.0.1",内网IP,{},"{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 17:26:52"
48,分组,3,com.fastbee.data.controller.GroupController.remove(),DELETE,1,admin,,/iot/group/3,"127.0.0.1",内网IP,{},"{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 17:26:54"
49,分组,3,com.fastbee.data.controller.GroupController.remove(),DELETE,1,admin,,/iot/group/4,"127.0.0.1",内网IP,{},"{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 17:26:56"
50,分组,3,com.fastbee.data.controller.GroupController.remove(),DELETE,1,admin,,/iot/group/5,"127.0.0.1",内网IP,{},"{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 17:26:58"
51,分组,3,com.fastbee.data.controller.GroupController.remove(),DELETE,1,admin,,/iot/group/6,"127.0.0.1",内网IP,{},"{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 17:27:00"
52,分组,1,com.fastbee.data.controller.GroupController.add(),POST,1,admin,,/iot/group,"127.0.0.1",内网IP,"{""createTime"":""2024-11-19 17:27:23.335"",""groupId"":7,""groupName"":""电站A区"",""groupOrder"":1,""params"":{},""userId"":1,""userName"":""admin""}","{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 17:27:23"
53,设备分组,2,com.fastbee.data.controller.GroupController.updateDeviceGroups(),PUT,1,admin,,/iot/group/updateDeviceGroups,"127.0.0.1",内网IP,"{""deviceIds"":[229],""groupId"":7}","{""msg"":""操作成功"",""code"":200}",0,,"2024-11-19 17:27:36"
54,更新产品状态,2,com.fastbee.data.controller.ProductController.changeProductStatus(),PUT,1,admin,,/iot/product/status/,"127.0.0.1",内网IP,"{""deviceType"":1,""productId"":41,""status"":1}","{""msg"":""操作成功"",""code"":200}",0,,"2024-11-20 14:56:00"
55,产品,3,com.fastbee.data.controller.ProductController.remove(),DELETE,1,admin,,/iot/product/41,"127.0.0.1",内网IP,{},"{""msg"":""删除失败，请先删除对应产品下的设备"",""code"":500}",0,,"2024-11-20 14:56:08"
